Infinitive;Past;Participle;Meaning
Arise;Arose;Arisen;Surgir, Levantarse
Awake;Awoke;Awoken;Despertarse
Bear;Bore;Borne/Born;Soportar, Dar a luz
Beat;Beat;Beaten;Golpear
Become;Became;Become;Llegar a Ser
Begin;Began;Begun;Empezar
Bend;Bent;Bent;Doblar
Bet;Bet;Bet;Apostar
Bind;Bound;Bound;Atar, Encuadernar
Bid;Bid;Bid;Pujar
Bite;Bit;Bitten;Morder
Bleed;Bled;Bled;Sangrar
Blow;Blew;Blown;Soplar
Break;Broke;Broken;Romper
Breed;Bred;Bred;Criar
Bring;Brought;Brought;Traer Llevar
Broadcast;Broadcast;Broadcast;Radiar
Build;Built;Built;Edificar
Burn;Burnt/Burned;Burnt/Burned;Quemar
Burst;Burst;Burst;Reventar
Buy;Bought;Bought;Comprar
Cast;Cast;Cast;Arrojar
Catch;Caught;Caught;Coger
Come;Came;Come;Venir
Cost;Cost;Cost;Costar
Cut;Cut;Cut;Cortar
Choose;Chose;Chosen;Elegir
Cling;Clung;Clung;Agarrarse
Creep;Crept;Crept;Arrastrarse
Deal;Dealt;Dealt;Tratar
Dig;Dug;Dug;Cavar
Do;Did;Done;Hacer
Draw;Drew;Drawn;Dibujar
Dream;Dreamt/Dreamed;Dreamt/Dreamed;Soñar
Drink;Drank;Drunk;Beber
Drive;Drove;Driven;Conducir
Eat;Ate;Eaten;Comer
Fall;Fell;Fallen;Caer
Feed;Fed;Fed;Alimentar
Feel;Felt;Felt;Sentir
Fight;Fought;Fought;Luchar
Find;Found;Found;Encontrar
Flee;Fled;Fled;Huir
Fly;Flew;Flown;Volar
Forbid;Forbade;Forbidden;Prohibir
Forget;Forgot;Forgotten;Olvidar
Forgive;Forgave;Forgiven;Perdonar
Freeze;Froze;Frozen;Helar
Get;Got;Got/Gotten;Obtener
Give;Gave;Given;Dar
Go;Went;Gone;Ir
Grow;Grew;Grown;Crecer
Grind;Ground;Ground;Moler
Hang;Hung;Hung;Colgar
Have;Had;Had;Haber o Tener
Hear;Heard;Heard;Oir
Hide;Hid;Hidden;Ocultar
Hit;Hit;Hit;Golpear
Hold;Held;Held;Agarrar Celebrar
Hurt;Hurt;Hurt;Herir
Keep;Kept;Kept;Conservar
Know;Knew;Known;Saber Conocer
Kneel;Knelt;Knelt;Arrodillarse
Knit;Knit;Knit;Hacer punto
Lay;Laid;Laid;Poner
Lead;Led;Led;Conducir
Lean;Leant;Leant;Apoyarse
Leap;Leapt;Leapt;Brincar
Learn;Learnt/Learned;Learnt/Learned;Aprender
Leave;Left;Left;Dejar
Lend;Lent;Lent;Prestar
Let;Let;Let;Permitir
Lie;Lay;Lain;Echarse
Light;Lit;Lit;Encender
Lose;Lost;Lost;Perder
Make;Made;Made;Hacer
Mean;Meant;Meant;Significar
Meet;Met;Met;Encontrar
Mistake;Mistook;Mistaken;Equivocar
Overcome;Overcame;Overcome;Vencer
Pay;Paid;Paid;Pagar
Put;Put;Put;Poner
Read;Read;Read;Leer
Ride;Rode;Ridden;Montar
Ring;Rang;Rung;Llamar
Rise;Rose;Risen;Levantarse
